id,name,gbs_id
Blowers-1970,Blowers 1970,
Bluhme-1970,Bluhme 1970,
Blust-1977,Blust 1977,
Boas-1894,Boas 1894,
Boas-1900,Boas 1900,
Boas-1911a,Boas 1911a,
Boas-1911b,Boas 1911b,
Boas-1911c,Boas 1911c,
Boas-1917,Boas 1917,
Boas-1918,Boas 1918,
Boas-1927,Boas 1927,
Boas-1947,Boas 1947,
Boas-and-Deloria-1941,Boas and Deloria 1941,
Boas-and-Hunt-1905,Boas and Hunt 1905,
Boas-and-Swanton-1911,Boas and Swanton 1911,
Boas-nd,Boas n.d.,
Bodomo-1997,Bodomo 1997,
Bodomo-2000,Bodomo 2000,
Bodomo-2001,Bodomo 2001,
Boeder-2000,Boeder 2000,H55NjkRtrpoC
Boehtlingk-1964,Boehtlingk 1964,
Boelaars-1950,Boelaars 1950,
Boeschoten-1998,Boeschoten 1998,
Bogoras-1917,Bogoras 1917,dADmQURlN_8C
Bogoras-1922,Bogoras 1922,
Boguslavskaja-1989,Boguslavskaja 1989,
Bohnhoff-1986,Bohnhoff 1986,
Bohtlingk-1964,Bohtlingk 1964,
Bokamba-1975,Bokamba 1975,
Bokarev-1949a,Bokarev 1949a,
Bokarev-1949b,Bokarev 1949b,
Bokarev-1959,Bokarev 1959,
Bokarev-1967a,Bokarev 1967a,
Bokarev-1967b,Bokarev 1967b,
